"jday","date","month","year","hour","min","sec","speed","Direction"
303.694444444444,31,10,10,16,40,0,5.477,165.468
303.701388888889,31,10,10,16,50,0,5.182,182.225
303.708333333333,31,10,10,17,0,0,5.274,177.492
303.715277777778,31,10,10,17,10,0,5.885,184.37
303.722222222222,31,10,10,17,20,0,7.913,185.669
303.729166666667,31,10,10,17,30,0,7.572,179.373
303.736111111111,31,10,10,17,40,0,6.486,187.745
303.743055555556,31,10,10,17,50,0,6.187,173.063
303.75,31,10,10,18,0,0,6.295,165.679
303.756944444444,31,10,10,18,10,0,6.29,168.702
303.763888888889,31,10,10,18,20,0,5.812,178.911
303.770833333333,31,10,10,18,30,0,6.344,178.019
303.777777777778,31,10,10,18,40,0,5.805,173.927
303.784722222222,31,10,10,18,50,0,7.24,176.052
303.791666666667,31,10,10,19,0,0,6.943,167.102
303.798611111111,31,10,10,19,10,0,6.523,160.269
303.805555555556,31,10,10,19,20,0,6.705,153.917
303.8125,31,10,10,19,30,0,6.152,171.332
303.819444444444,31,10,10,19,40,0,6.233,157.629
303.826388888889,31,10,10,19,50,0,6.709,157.753
303.833333333333,31,10,10,20,0,0,4.743,156.071
303.840277777778,31,10,10,20,10,0,3.901,144.2
303.847222222222,31,10,10,20,20,0,6.291,151.113
303.854166666667,31,10,10,20,30,0,4.355,144.088
303.861111111111,31,10,10,20,40,0,4.166,149.169
303.868055555556,31,10,10,20,50,0,2.691,142.291
303.875,31,10,10,21,0,0,4.283,164.508
303.881944444444,31,10,10,21,10,0,3.824,161.398
303.888888888889,31,10,10,21,20,0,3.408,175.547
303.895833333333,31,10,10,21,30,0,4.334,169.904
303.902777777778,31,10,10,21,40,0,4.262,158.112
303.909722222222,31,10,10,21,50,0,2.682,170.044
303.916666666667,31,10,10,22,0,0,3.457,156.626
303.923611111111,31,10,10,22,10,0,1.338,180.89
303.930555555556,31,10,10,22,20,0,2.433,125.403
303.9375,31,10,10,22,30,0,2.452,168.52
303.944444444444,31,10,10,22,40,0,1.795,205.414
303.951388888889,31,10,10,22,50,0,3.594,212.844
303.958333333333,31,10,10,23,0,0,2.854,175.167
303.965277777778,31,10,10,23,10,0,2.263,191.976
303.972222222222,31,10,10,23,20,0,2.192,171.176
303.979166666667,31,10,10,23,30,0,1.842,170.775
303.986111111111,31,10,10,23,40,0,2.143,193.925
303.993055555556,31,10,10,23,50,0,2.369,211.201
304,1,11,10,0,0,0,1.78,186.045
304.006944444444,1,11,10,0,10,0,2.354,160.996
304.013888888889,1,11,10,0,20,0,1.922,228.996
304.020833333333,1,11,10,0,30,0,0.656,246.122
304.027777777778,1,11,10,0,40,0,2.158,233.731
304.034722222222,1,11,10,0,50,0,2.068,196.314
304.041666666667,1,11,10,1,0,0,0.983,241.054
304.048611111111,1,11,10,1,10,0,1.781,201.931
304.055555555556,1,11,10,1,20,0,3.489,243.981
304.0625,1,11,10,1,30,0,4.57,184.881
304.069444444444,1,11,10,1,40,0,2.412,163.756
304.076388888889,1,11,10,1,50,0,3.867,189.173
304.083333333333,1,11,10,2,0,0,3.145,200.391
304.090277777778,1,11,10,2,10,0,2.182,190.454
304.097222222222,1,11,10,2,20,0,4.306,169.158
304.104166666667,1,11,10,2,30,0,3.919,127.981
304.111111111111,1,11,10,2,40,0,3.329,154.711
304.118055555556,1,11,10,2,50,0,3.503,168.122
304.125,1,11,10,3,0,0,3.757,172.189
304.131944444444,1,11,10,3,10,0,4.759,152.766
304.138888888889,1,11,10,3,20,0,7.292,166.424
304.145833333333,1,11,10,3,30,0,6.566,153.271
304.152777777778,1,11,10,3,40,0,6.187,162.946
304.159722222222,1,11,10,3,50,0,7.415,147.129
304.166666666667,1,11,10,4,0,0,6.864,154.798
304.173611111111,1,11,10,4,10,0,7.937,150.469
304.180555555556,1,11,10,4,20,0,6.035,151.274
304.1875,1,11,10,4,30,0,5.613,144.424
304.194444444444,1,11,10,4,40,0,6.768,144.229
304.201388888889,1,11,10,4,50,0,7.877,149.244
304.208333333333,1,11,10,5,0,0,9.543,154.155
304.215277777778,1,11,10,5,10,0,8.458,153.078
304.222222222222,1,11,10,5,20,0,8.485,149.131
304.229166666667,1,11,10,5,30,0,9.006,141.092
304.236111111111,1,11,10,5,40,0,9.477,159.329
304.243055555556,1,11,10,5,50,0,10.198,157.86
304.25,1,11,10,6,0,0,9.036,150.574
304.256944444444,1,11,10,6,10,0,8.071,154.735
304.263888888889,1,11,10,6,20,0,10.936,150.68
304.270833333333,1,11,10,6,30,0,9.925,148.528
304.277777777778,1,11,10,6,40,0,9.557,153.623
304.284722222222,1,11,10,6,50,0,11.801,149.133
304.291666666667,1,11,10,7,0,0,11.446,144.572
304.298611111111,1,11,10,7,10,0,9.456,149.676
304.305555555556,1,11,10,7,20,0,12.816,154.378
304.3125,1,11,10,7,30,0,13.536,150.406
304.319444444444,1,11,10,7,40,0,12.13,148.657
304.326388888889,1,11,10,7,50,0,12.592,150.94
304.333333333333,1,11,10,8,0,0,10.632,136.148
304.340277777778,1,11,10,8,10,0,9.166,140.898
304.347222222222,1,11,10,8,20,0,10.958,145.462
304.354166666667,1,11,10,8,30,0,10.56,139.199
304.361111111111,1,11,10,8,40,0,11.315,145.53
304.368055555556,1,11,10,8,50,0,10.67,150.637
304.375,1,11,10,9,0,0,11.874,149.005
304.381944444444,1,11,10,9,10,0,9.964,148.738
304.388888888889,1,11,10,9,20,0,8.615,146.226
304.395833333333,1,11,10,9,30,0,11.719,145.032
304.402777777778,1,11,10,9,40,0,11.569,132.487
304.409722222222,1,11,10,9,50,0,9.722,144.825
304.416666666667,1,11,10,10,0,0,8.506,147.704
304.423611111111,1,11,10,10,10,0,10.339,149.189
304.430555555556,1,11,10,10,20,0,7.085,153.789
